GCVS-Name,RA(2000),Dec(2000),PM-RA,PM-RAerr,PM-Dec,PM-Decerr,Epoch,l,b,Type,Period,Outburst,Cluster,Mag. Range,Coord-Ref.,PM-Ref,Type-Ref.,Chart-Ref.,Spect-Ref.,Period-Ref.,Other-Name,IUE,HST,ARIEL5,HEAO1,HEAO2,EXOSAT,ROSAT,GINGA,ASCA,EUVE,
UMa,09:32:49.57,+47:25:23.0,0.00746,0.0039,-0.0022,0.00389,2001888,171,47,dq,0.066162,,,17.8s-,2006-22,2006-22,2006-08,A9999-99,2004-45S,2006-08,SDSS J093249+472523,,,,,,,,,,,
Lyn2,09:34:23.40,+40:38:09.0,6,0.0039,0.00013,0.00389,2002104,181,48,ug,,,,15.7f-19V,2006-22,2006-22,1979-02,1979-02*,,,KUV 09313+4052,,,,,,,,,,,
Leo,09:37:19.,+15:13:12.,,,,,,217,43,n::,,1612.3,,4v- ,1878-01,,1987-08,1987-08:*,,,NSV 4550,,,,,,,,,,,
Leo7,09:38:36.98,+07:14:55.1,-0.00265,0.0039,-0.02765,0.00389,2002192,227,40,ug,0.1868,,,13.0B-17B,2006-22,2006-22,1994-49,A9999-99,1993-10S,2001-43,NSV 18241,Y,,,,,,,,,,
UMa,09:43:25.90,+52:01:28.7,0.00136,0.0039,-0.00386,0.00389,2001285,164,47,cv,,,,16.5s-,2006-22,2006-22,2004-45,A9999-99,2004-45S,,SDSS J094325+520128,,,,,,,Y,,,,
Sex,09:44:31.70,+03:58:05.6,-0.01885,0.0039,-0.01767,0.00389,2001137,232,40,dq,0.1493,,,12.5V-16.3B,2006-22,2006-22,2003-10,1998-23,2000-80S,2002-19,RX J0944.5+0357,,Y,,,,,Y,,,,
Leo,09:46:34.5,+13:50:58.1,,,,,,221,45,dq,,,,16.3V-19.0V,2005-51,,2005-51,2005-51,2005-51S,*,HS 0943+1404,,,,,,,,,,,
DV UMa,09:46:36.59,+44:46:44.7,-0.02696,0.0039,-0.00601,0.00389,2001967,175,49,ugsu,0.085853,,,15.4v-20.6v,2006-22,2006-22,1997-30,1982-19,1990-09S,2000-72,US 943,,Y,,,,,Y,,,,
ER UMa,09:47:11.93,+51:54:09.0,0.03146,0.0039,-0.00382,0.00389,2002022,164,48,ugsu,0.06366,,,12.8V-15.8V,2006-22,2006-22,1995-35,1986-06,1994-07S,1997-54,UMa1, PG 0943+521,Y,,,,,,,,,
LMi,09:49:20.06,+35:55:43.6,,,,,,,,non-cv,,,,-,,,2002-22*,,,,FBS 0946+362,,,,,,,,,,,
Sex1,09:49:40.40,+03:24:25.2,,,,,,,,non-cv,,,,- ,,,1996-01*,,,,PG 0947+036,,,,,,,,,,,
AG Hya,09:50:29.76,-23:45:17.5,,,,,,258,22,ug,,,,14.3p-19.2V,ICRS,,1982-03,1982-03,1987-05S,,HV 7591,,,,,,,,,,,
X Leo,09:51:01.46,+11:52:31.3,-0.02338,0.0039,-0.00745,0.00389,2003981,224,45,ug,0.1644,,,12.4V-16.5V,2006-22,2006-22,1987-20,1982-03,1983-12S,1986-24,66.1907,Y,,,,,,,,,,
UMa,09:51:35.20,+60:29:39.6,-0.00219,0.0039,-0.01154,0.00389,2000.26,152,45,cv,,,,20.0s-,2006-22,2006-22,2004-45,A9999-99,2004-45S,,SDSS J095135+602939,,,,,,,,,,,
RZ LMi,09:51:48.93,+34:07:23.9,0.0007,0.0039,-0.02131,0.00389,2004128,191,51,ugsu,,,,14.2V-16.8V,2006-22,2006-22,1995-40,1982-06,1992-01S,*,PG 0948+344,Y,,,,,,,,,,
Leo,09:53:08.17,+14:58:36.1,,,,,,220,47,am,0.072049,,,17.3V- ,ICRS,,1999-12,A9999-99,1999-12S:,2002-113,RXS J0953.1+1458,,,,,,,Y,,,,
OQ Car,09:55:58.46,-68:09:41.3,-44,2,24,27,2000,288,-11,ug,,,,14.5p-17.p,2003-115,2003-115,1998-21,1998-21,1998-21S,,122.1934,,,,,,,,,,,
KR UMa,10:01:27.79,+55:53:28.0,,,,,,,,non-cv,,,,-,,,2002-10*,,,,standard 5 for QSO,,,,,,,,,,,
RU LMi,10:02:07.46,+33:51:00.3,0.00932,0.0039,-0.00213,0.00389,2003315,192,53,ug,251,,,13.8p-19.5p,2006-22,2006-22,1987-04,1987-04,1990-09S,1990-37,CBS-119/Ton 1143,,,,,,,,,,,
Hya,10:02:11.71,-19:25:37.4,-12,3,-4,5,2000,257,28,am,0.0743,,,17B- ,2003-115,2003-115,1993-19,A9999-99,,1995-75,RX J1002-1925,,,,,,,Y,,,,
LN UMa,10:04:34.63,+66:29:14.5,,,,,,144,43,vy,0.1444,,,15.1V-15.4V,ICRS,,1998-31,1986-06,1993-10S,1998-31,PG 1000+667,Y,,,,,,,,,,
UMa2,10:05:29.30,+50:20:39.8,,,,,,,,non-cv,,,,- ,,,1994-49*,,,,PG 1002+506,,,,,,,,,,,
OY Car,10:06:22.10,-70:14:04.7,-0.0381,0.0113,0.0113,0.0112,1998184,290,-11,ugsu,0.063121,,,12.4v-17.3v,2000-108,2000-108,1987-20,1982-03,1981-10S,1999-100,S 6302,Y,Y,,,,Y,Y,,Y,Y,
CH UMa,10:07:00.69,+67:32:47.3,-1,5,-0.0076,5,2000,143,43,ug,0.343184,,,10.7V-15.3V,1987-28,1987-28,1987-04,1987-04,1987-05S,2004-01,PG 1003+678,,,,,,,Y,,,,
Hya,10:07:34.64,-20:17:32.4,-6,1,0,8,2000,259,28,am,0.1458,,,18.0V- ,2003-115,2003-115,1999-05,A9999-99,1999-05S,1999-05,RX J1007-2016,,,,,,,Y,,,,
Sex,10:09:32.2,-02:01:55.,,,,,,243,41,ugsu/wz,,,,14.3r-20.5p,2005-23,,2005-24,2005-23,2005-23X,,ROTSE3 J100932,,,,,,,,,,,
Sex,10:10:37.05,+02:49:15.0,,,,,,238,45,cv,,,,20.8s-,2003-22,,2003-22,A9999-99,2003-22S,,SDSS J101037+024915,,,,,,,,,,,
UMa,10:13:23.64,+45:58:58.9,-0.00169,0.0039,-0.00833,0.00389,2002036,171,54,cv,,,,18.9s-,2006-22,2006-22,2004-45,A9999-99,2004-45S,,SDSS J101323+455858,,,,,,,,,,,
SW Sex,10:15:09.40,-03:08:33.1,-0.0088,5,-0.0049,5,2000,246,42,ux,0.134938,,,14.8B-16.7B,1987-28,1987-28,1995-41,1982-06,1984-04S,2001-117,PG 1012-029,Y,,,,,Y,,,,,
GG Leo,10:15:34.67,+09:04:42.0,-0.02857,0.0039,-0.00375,0.00389,2002192,232,49,am,0.055471,,,16.5V-18.8V,2006-22,2006-22,1998-01,1998-01,1998-01S,1998-01,RX J1015.5+0904,,,,,,,Y,,,Y,
CP Dra,10:15:39.80,+73:26:05.1,-0.01,1,-16,0,2000,136,39,ugsu,,,,14.3p-20p,2003-115,2003-115,2001-12,1987-04*,1990-09S,*,,,,,,,,,,,,
KO Vel,10:15:58.31,-47:58:10.1,,,,,,278,7,dq::,422,,,16.7V-19.0V,ICRS,,1994-46,1983-09,1983-06S,1992-38,1E 1013-477,Y,,,Y,Y,Y,Y,,,,
V381 Vel,10:16:58.99,-41:03:44.2,0.0069,0.0181,-0.0174,0.0181,1991.25,274,13,am,0.0931,,,18.5V- ,2004-109,2004-109,1998-19,1998-19,1998-19S,2004-93,RX J1016.9-4103,,,,,,,Y,,,,
Vel,10:17:04.28,-46:18:50.9,,,,,,277,9,cv,,,G,-,2006-06,,2006-06,,,,NGC 3201-16,,,,,,,,,,,
Vel,10:17:15.63,-46:22:54.1,,,,,,277,9,cv,,,G,-,2006-06,,2006-06,,,,NGC 3201-23,,,,,,,,,,,
Vel,10:17:36.00,-46:24:19.5,,,,,,277,9,cv,,,G,-,2006-06,,2006-06,,,,NGC 3201-26,,,,,,,,,,,
Vel,10:17:50.54,-46:21:32.9,,,,,,277,9,cv,,,G,-,2006-06,,2006-06,,,,NGC 3201-22,,,,,,,,,,,
CI UMa,10:18:13.12,+71:55:44.2,0.0156,5,0.0121,5,2000,138,41,ugsu,0.06,,,13.8p-18.8V,1987-28,1987-28,1997-59,1987-04,1989-06S,1990-37,SVS 1755,,,,,,,Y,,,,
Car,10:19:04.3,-57:11:08.,,,,,,283,0,n:,,,,- ,C00005,,1978-01,A9999-99*,,,NSV 18378,,,,,,,,,,,
RW Sex,10:19:56.62,-08:41:56.1,-0.0183,0.0018,-17,0.0012,2000,252,39,ux,0.24507,,,10.4V-10.8V,2004-105,2004-105,1987-20,ABD,1994-07S,2004-98,BD -7 3007,Y,Y,,,Y,Y,Y,,,,
KS UMa,10:20:26.52,+53:04:33.1,-0.02432,0.0039,0.00237,0.00389,2002022,160,52,ugsu,68,,,13.0p-17.0p,2006-22,2006-22,1998-50,1998-23*,2000-80S,2003-81,RX J1020+5304,,Y,,,,,Y,,,,
V383 Vel,10:21:41.75,-49:49:23.4,,,,,,280,6,UGSS,,,,12.5p-17.p,ICRS,,T00000,2000-79,,,NSV 4834,,,,,,,,,,,
HR Car,10:22:53.89,-59:37:28.4,,,,,,,,non-cv,,,,- ,,,T00000*,,,,HD 90177,,,,,,,,,,,
UMa8,10:23:20.28,+44:05:09.9,-0.0001,0.0039,-6,0.00389,2003175,173,56,ugsu,0.0678,,,14.5p-16.5p,2006-22,2006-22,2005-49*,1955-02*,,2005-121,NSV 4838,,,,,,,,,,,
Sex,10:23:47.68,+00:38:41.1,0.00883,0.0039,-0.01815,0.00389,1999219,243,46,dq/am,0.198094,,,17.3V-17.8V,2006-22,2006-22,2002-70*,2002-70,2002-70S,2005-45,FIRST J102347+003841,,,,,,,,,,,
U Leo,10:24:03.3,+14:00:11.,,,,,,226,53,n::,,1855.,,10.5v-<15v,C00003,,1987-08,1987-08*,,*,BD +14 2239,,,,,,,,,,,
UMa,10:25:17.94,+43:02:21.2,-0.01584,0.0039,-0.01,0.00389,2003175,175,57,cv,,,,19.9s-,2006-22,2006-22,2005-32,A9999-99,2005-32S,,SDSS J102517+430221,,,,,,,,,,,
Hya,10:25:22.,-15:42:24.,,,,,,259,34,ug:,,,,12.2V-,2006-25,,2006-25,A9999-99*,,,ASAS 102522-1542.4,,,,,,,,,,,
WX LMi,10:26:27.49,+38:45:02.5,0.02041,0.0039,-0.04513,0.00389,2003085,183,58,am,0.115923,,,18B- ,2006-22,2006-22,1999-01,2005-42,1999-01S,2001-93,HS 1023+3900,,,,,,,,,,,
Leo5,10:28:00.11,+21:48:13.2,0.0121,5,-0.0051,5,2000,214,57,nl,,,,16.2V- ,1987-28,1987-28,1990-25,1990-25,1997-07S,,1H 1025+220,,,,Y,,,,,,,
EP Car,10:28:23.24,-58:57:58.7,,,,,,,,non-cv,,,,- ,,,T00000*,,,,,,,,,,,,,,,
V411 Car,10:31:19.35,-59:58:25.7,,,,,,,,non-cv,,,,- ,,,1996-01*,,,,NSV 4884,,,,,,,,,,,
Leo,10:31:47.99,+08:52:24.3,-0.00155,0.0039,-0.00399,0.00389,2002934,235,52,cv,,,,18.8s-,2006-22,2006-22,2005-32,A9999-99,2005-32S,,SDSS J103147+085224,,,,,,,,,,,
DW UMa,10:33:52.86,+58:46:54.7,-0.00296,0.0039,0.00058,0.00389,2000904,150,50,ux/vy,0.136607,,,14.9V-18.V,2006-22,2006-22,1995-32/1994-49,1982-06,1988-07S,2003-103,PG 1030+590,Y,Y,,,,,Y,,,,
SS LMi,10:34:05.43,+31:08:08.3,0.00212,0.0039,-0.00942,0.00389,2004287,197,60,ug or n,,1980.,,15.p-21.6B,2006-22,2006-22,1987-08,2000-28:*,,,SVS 2506,,,,,,,,,,,
Sex,10:35:33.03,+05:51:58.4,-6,0.00273,41,0.00273,2002173,240,51,cv,,,,18.8g-,2006-05,2006-22,2006-05,A9999-99,2006-05S,,SDSS J103533+055158,,,,,,,,,,,
RX Cha,10:36:26.11,-80:02:47.9,,,,,,297,-18,ugsu,,,,14.4p-<20.5V,ICRS,,1998-37,1982-03,,*,S 6311,,,,,,,,,,,
Car,10:38:22.51,-63:08:29.4,,,,,,289,-4,n/n::,,1972.,,13 -18 ,C00002,,1987-08/1999-36*,1987-08:*,1987-08X:,,NSV 18468,,,,,,,,,,,
Sex,10:39:46.99,-05:06:58.3,2,4,-18,3,2000,253,45,dq,0.065597,,,18.5V- ,2003-115,2003-115,2003-04,A9999-99,1998-12S:,2003-04,RX J1039.7-0507,,,,,,,Y,,,,
Car,10:39:47.12,-63:14:07.2,,,,,,,,non-cv,,1971.,,- ,,,1999-36*,,,,NSV 18473,,,,,,,,,,,
DO Leo,10:40:51.22,+15:11:33.7,,,,,,228,57,nl,0.234515,,,16.0B-17.0B,ICRS,,1995-41,1982-06,1990-02S,1990-02,PG 1038+155,,,,,,,,,,,
IY UMa,10:43:56.73,+58:07:31.9,-0.05542,0.0039,-0.03032,0.00389,2002118,150,52,ugsu,0.073909,,,13.0p-18.4p,2006-22,2006-22,2000-36,2000-36,,2003-110,Tmz V85,,,,,,,,,,,
RT Car,10:44:47.23,-59:24:48.4,,,,,,,,non-cv,,,,- ,,,T00000*,,,,LSS 1855,,,,,,,,,,,
V382 Vel,10:44:48.40,-52:25:31.1,-0.0115,0.0023,-0.0017,0.0019,1999.53,284,6,na,0.1581,1999.39,,2.7V-16.6V,2004-109,2004-109,1999-07,A9999-99,1999-07X:,2005-99,,,Y,,,,,,,Y,,
V351 Car,10:45:19.26,-72:03:56.8,,,,,,,,non-cv,,,,- ,,,1987-08*,,,,BV 1543,,,,,,,,,,,
FH UMa,10:47:09.93,+63:35:13.1,,,,,,143,48,am,,,,19.4V- ,ICRS,,1995-10,1995-10,1995-10S,*,UMa9, WGA 1047+6335,,,,,,,Y,,,
ST Cha,10:47:15.61,-79:28:06.9,-0.0204,0.0056,0.0092,0.0056,2000,297,-18,ug,,,,12.8p-17.6p,2004-105,2004-105,1998-21,1998-21,1988-09S,,S6315,,,,,,,,,,,
UMa5,10:48:18.02,+52:18:29.8,0.01362,0.0039,-0.02034,0.00389,2001962,157,56,ug,0.271278,,,16.5B- ,2006-22,2006-22,1990-18,1991-12,1988-01S,2001-97,CW 1045+525,,Y,,,,,,,,,
Hya,10:50:10.80,-14:04:36.9,-0.1961,0.0055,-17,0.0055,2000,264,39,ugwz:,,,,17.6V-,2003-114,2003-114,2001-55,2001-55,2001-55S,*,RXS J105010-140431,,,,,,,Y,,,,
EK UMa,10:51:35.15,+54:04:36.1,-0.02361,0.0039,-0.01756,0.00389,2001962,154,55,am,0.07948,,,18.0v-20.0v,2006-22,2006-22,1995-41,1987-01,1987-01S,1987-01,1E 1048.5+5421,,,,Y,Y,,Y,,,Y,
SX LMi,10:54:30.43,+30:06:10.2,0.0276,0.0039,-0.03723,0.00389,2004366,199,64,ugsu,0.0672,,,13V-17.4V,2006-22,2006-22,1995-26,1984-17,1988-01S,1998-73,CBS-31/Ton 45,Y,,,,,,,,,,
EL UMa,10:55:07.00,+36:59:45.7,0.00733,0.0039,-0.03367,0.00389,2004128,184,64,ug:,,,,14p-19p,2006-22,2006-22,1988-01,1988-17,1988-01S,,CBS-132,,,,,,,,,,,
AG Car,10:56:11.54,-60:27:13.0,,,,,,,,non-cv,,,,- ,,,T00000*,,,,PK 289-0 1,,,,,,,,,,,
CY UMa,10:56:57.00,+49:41:18.3,-0.02195,0.0039,0.01361,0.00389,2002033,159,59,ugsu,0.06795,,,12.3V-17.8V,2006-22,2006-22,1995-41,1977-01*,1992-01S,1995-58,SVS 2198,,Y,,,Y,,Y,,,,
V391 Hya,10:58:27.59,-29:19:02.2,-0.0013,0.0027,-0.0002,0.0033,1991.25,275,27,ux,,,,14.3V- ,2004-109,2004-109,1997-05,A9999-99,1997-05S:,,EC 10560-2902,,,,,,,,,,,
V392 Hya,10:58:56.44,-29:14:41.0,-0.0083,0.0021,0.0034,0.0006,1991.25,275,28,ug:,0.324952,,,14.9B-16.3B,2004-109,2004-109,2001-56,A9999-99,1997-05S:,2005-117,EC 10565-2858,,,,,,,,,,,
Hya,10:58:59.07,-31:36:34.0,,,,,,277,25,cv,,,,17.8V- ,ICRS,,1997-05,A9999-99,1997-05S:,,EC 10566-3120,,,,,,,,,,,
Leo,11:00:14.72,+13:15:52.1,2,0.00279,-14,0.00279,2003981,235,61,cv,,,,18.7g-,2006-05,2006-22,2006-05,A9999-99,2006-05S,,SDSS J110014+131552,,,,,,,Y,,,,
V393 Hya,11:00:17.47,-29:51:59.1,-0.0195,0.0017,0.0051,0.0039,1991.25,276,27,nl,135,,,15.9V- ,2004-109,2004-109,2004-71,A9999-99,1997-05S:,2003-26,EC 10578-2935,,,,,,,,,,,
CN Vel,11:02:38.5,-54:23:10.,,,,,,287,5,nb,,1905.93,,10.2p-17.8V,ICRS,,1987-08,1987-08*,1996-01S,,HD 95821,,,,,,,,,,,
V365 Car,11:03:15.82,-58:27:26.1,,,,,,289,1,nb,,1948.74,,10.1p-18.5V,ICRS,,1987-08,1987-08,1996-01S,,He 3-558,,,,,,,,,,,
TU Crt,11:03:36.53,-21:37:45.5,,,,,,272,35,ugsu,0.08209,,,12.1B-17.5B,ICRS,,1999-82,1992-11,1992-11S,2003-81,J05.23,,,,,,,,,,,
AN UMa,11:04:25.67,+45:03:14.0,-0.0387,5,-0.0226,5,2000,166,62,am,0.079753,,,13.8B-20.2B,1987-28,1987-28,1984-15,1983-12,1983-12S,1996-59,PG 1101+453,Y,Y,,,Y,Y,Y,,,Y,
ST LMi,11:05:39.76,+25:06:28.7,4,1,-34,0,2000,212,66,am,0.079089,,,15.0V-17.2V,2003-115,2003-115,1984-15,1982-17,1983-10S,1986-21,CW 1103+254,Y,Y,,,,Y,Y,Y,,,
QU Car,11:05:42.51,-68:37:58.2,-0.01377,0.00144,0.00047,0.00153,1991.25,294,1,nl,454,,,11.1v-11.5v,1997-45,1997-45,1984-15,1949-03,1982-11S,1982-11,HDE 310376,Y,Y,,Y,,,,,,,
FH Leo,11:06:07.46,+07:01:58.7,,,,,,,,non-cv,,,,-,,,2005-43*,,,,HIP 54268,,,,,,,,,,,
Leo1,11:06:40.22,+01:54:50.5,,,,,,,,non-cv,,,,- ,,,1994-07*,,,,PG 1104+022,,,,,,,,,,,
V342 Cen,11:07:14.61,-55:57:44.3,,,,,,289,4,ug,,,,14.6p-16.6p,ICRS,,1988-09,1998-21,1988-09S,,,,,,,,,,,,,
RS Car,11:08:05.78,-61:56:08.2,,,,,,291,-1,n,,1895.3,,7.0p-18.0v,ICRS,,1987-08,2001-03,2001-03S,*,HD 96830/HV 47,,,,,,,,,,,
V436 Cen,11:14:00.12,-37:40:47.9,-0.0666,0.0031,-0.0055,1,1991.25,282,21,ugsu,0.062501,,,11.3V-15.5V,2004-109,2004-109,1987-20,1982-03,1982-13S,1982-13,1E 1111-3724,Y,Y,,,Y,,Y,,Y,,
UMa,11:14:57.6,+33:49:37.,,,,,,189,68,cv:,,,,14.0p-17.p,1985-13*,,1985-13,A9999-99,,,SN 1985J, NSV 18704,,,,,,,,,,
AR UMa,11:15:44.56,+42:58:22.4,-0.08089,0.0039,-0.00157,0.00389,2003225,167,65,am,0.080501,,,13.3V-16.5V,2006-22,2006-22,1995-41,1994-01,1994-01S,1999-75,1ES 1113+432,,Y,,,Y,,Y,,Y,Y,
CE UMa,11:16:11.,+29:22:,,,,,,201,69,UG:,,,,15.5p-<21p,C00004*,,T00000,A9999-99*,,,,,,,,,,,,,,
Leo2,11:17:03.50,+18:25:58.6,,,,,,,67,non-cv,,,,- ,ICRS,,2000-96*,,,,PG 1114+187,,,,,,,,,,,
DP Leo,11:17:15.93,+17:57:42.0,-24,4,8,3,2000,231,65,am,0.062363,,,17.5B-19.5B,2003-115,2003-115,1984-15,1985-08,1985-08S,2002-135,1E 1114+182,Y,Y,,Y,Y,Y,Y,,,,
UMa3,11:19:31.32,+34:40:13.7,,,,,,,,non-cv,,,,- ,,,1994-07*,,,,PG 1116+349,,,,,,,,,,,
Leo6,11:22:13.11,+14:26:21.8,0.00013,0.0039,-0.0052,0.00389,2003981,240,66,cv,,,,16.1B- ,2006-22,2006-22,1986-06*,1991-04,,,PG 1119+147,,,,,,,,,,,
V442 Cen,11:24:51.93,-35:54:36.8,-0.0274,0.0046,0.0021,0.0041,1991.25,284,23,ugSS,,,,11.9V-<16.5v,2004-109,2004-109,1982-03/T00000,1982-03,1998-03X,*,HV 8364,,Y,,,,,,,,,
Leo,11:25:55.72,-00:16:38.6,0.00453,0.0039,-0.01536,0.00389,1999216,263,56,ug,0.0631,,,19.6b-,2006-22,2006-22,2002-01,2004-77*,2002-01S,2002-01,2QZ J112555.7-001639,,,,,,,,,,,
GU Mus,11:26:26.60,-68:40:32.3,,,,,,,,non-cv,,1991.,,- ,,,1994-53*,,,,GRS 1121-68,,,,,,,,,,,
AU Leo,11:30:14.31,+23:48:09.1,,,,,,,,non-cv,,,,- ,,,T00000*,,,,S 8015,,,,,,,,,,,
Leo3,11:31:14.40,+09:32:18.4,,,,,,,,non-cv,,,,- ,,,1994-07*,,,,PG 1128+098,,,,,,,,,,,
UMa,11:31:23.,+43:22:38.,,,,,,163,67,ugsu,0.6375,,,- ,ICRS,,2002-28,A9999-99,1998-10S,2006-05,1RXP J113123+4322,,,,,,,Y,,,,
UMa,11:32:15.49,+62:49:00.5,-0.00839,0.0039,-0.00706,0.00389,2001373,117,52,cv,,,,18.5s-,2006-22,2006-22,2004-45,A9999-99,2004-45S,,SDSS J113215+624900,,,,,,,Y,,,,
TT Crt,11:34:47.17,-11:45:30.3,-24,0.0087,0.0312,0.0083,2000,275,47,ug,0.26842,,,12.7V-16.3V,2004-105,2004-105,1992-02,1989-15,1992-02S,2004-01,FSV 1132-11,Y,Y,,,,,,,,,
RZ Leo,11:37:22.25,+01:48:58.6,-0.06338,0.0039,0.0151,0.00389,2000342,265,59,ugwz,0.0760383,1918.,,11.5V-19.2V,2006-22,2006-22,1987-08,1982-03,1992-01S,2003-81,30.1919,,,,,,Y,,,,,
Vir,11:38:26.73,+06:19:19.5,-55,0.00308,-11,0.00308,2003246,260,63,cv,58,,,18.9g-,2006-05,2006-22,2006-05,A9999-99,2006-05S,2006-05,SDSS J113826+061919,,,,,,,Y,,,,
T Leo,11:38:26.83,+03:22:07.1,-0.0945,0.0039,-0.06641,0.00389,2000342,263,60,ugsu,0.05882,,,10.0V-15.9V,2006-22,2006-22,1987-20,1982-03,1984-03S,1984-22,BD +4 2506a,Y,Y,,Y,,,Y,,Y,Y,
UMa4,11:38:35.68,+57:52:27.3,,,,,,,,non-cv,,,,- ,,,1994-07*,,,,PG 1136+581,,,,,,,,,,,
V1033 Cen,11:41:22.71,-64:10:14.6,,,,,,295,-2,am,0.131518,,,16.6V- ,ICRS,,2000-55,1996-09,1996-09S,1998-69,Cen3/RX J1141.3-6410,,,,,,,Y,,,,
Leo,11:42:45.84,+21:56:29.3,-8,2,-6,3,2000,228,74,cv/qso:,,,,19.0B- ,2003-115,2003-115,1998-23,1998-23*,,,,,,,,,,Y,,,,
DO Dra,11:43:38.50,+71:41:20.7,14,2,14,4,2000,130,45,dq,0.165374,,,10.6B-16.7B,2003-115,2003-115,1991-21,1986-13,1983-12S,1997-47,YY Dra?,Y,Y,,Y,Y,,Y,,Y,,
MT Cen,11:44:00.5,-60:33:34.,,,,,,295,1,n:,,1931.36,,8.4p-22j,ICRS,,1987-08,2002-56*,,,,,,,,,,,,,,
TW Vir,11:45:21.16,-04:26:05.8,0.0072,0.0026,-0.0231,0.0028,2000,274,55,ug,0.18267,,,12.1v-16.3v,2004-105,2004-105,1987-20,1982-03,1983-12S,1983-24,PG 1142-041,Y,,,,Y,,Y,,,,
Dra,11:46:28.80,+67:59:09.6,-0.0079,0.0039,0.00015,0.00389,2000.32,132,48,cv/ug:,,,,18.8s-,2006-22,2006-22,2003-22,A9999-99,2003-22S,*,SDSS J114628+675910,,,,,,,Y,,,,
Leo,11:48:03.12,+18:30:45.2,,,,,,,,non-cv,,,,-,,,2002-19*,,,,PG 1145+187,,,,,,,,,,,
Leo4,11:49:00.58,+22:31:04.5,,,,,,,,non-cv,,,,- ,,,1994-49*,,,,PG 1146+228,,,,,,,,,,,
EU UMa,11:49:55.71,+28:45:07.6,-14,1,-2,1,2000,203,76,am,0.0626,,,16.5B-16.8B,2003-115,2003-115,1995-41,1992-19,1992-19S,1995-56,RE 1149+28,,Y,,,,,Y,,,Y,
GQ Mus,11:52:02.48,-67:12:20.1,,,,,,297,-5,na/am,0.059365,1983.05,,7.2v-18.3B,ICRS,,1987-08/1994-40,1987-08,1987-09S:,1994-61,,Y,Y,,,,Y,Y,,,,
BC UMa,11:52:15.83,+49:14:41.9,-0.02658,0.0039,-0.0102,0.00389,2002104,146,65,ugsu,0.06261,,,10.9B-18.3B,2006-22,2006-22,2000-37,1985-04,1990-09S,2003-81,GR 102,,Y,,,,,,,,,
SW Crt,11:52:25.45,-24:31:01.2,,,,,,,,non-cv,,,,- ,,,1983-20*,,,,SVS 2147,,,,,,,,,,,
UMa,11:53:24.73,+59:39:56.9,,,,,,,,non-cv,,,,- ,,,2001-17*,,,,SBS 1150+599A,,,,,,,,,,,
V1040 Cen,11:55:26.72,-56:41:52.0,-0.1253,0.0115,0.0718,0.0115,1998293,295,5,ugsu,0.0603,,,12.5V-<14.6V,2000-108,2000-108,2002-29,1998-18,1998-18S,2003-81,RX J1155.4-5641,,,,,,,Y,,,,
LZ Mus,11:56:08.96,-65:34:20.7,,,,,,297,-3,na,,1998.99,,9.5V-<18.V,1999-23,,1998-09,A9999-99*,1998-09X,*,,,,,,,,,,,,
UMa,11:56:39.48,+63:09:07.7,,,,,,133,53,cv,,,,20.7s-,2004-45,,2004-45,A9999-99,2004-45S,,SDSS J115639+630907,,,,,,,,,,,
BE UMa,11:57:44.78,+48:56:18.7,,,,,,,,non-cv,,,,-,,,1981-19*,,,,PG 1155+492,,,,,,,,,,,
V359 Cen,11:58:15.33,-41:46:08.4,-18,2,0.03,0,2000,292,20,ugsu,0.0779,,,13.8p-18.7V,2003-115,2003-115,2001-79,1987-08,,2001-79,vG 27,,,,,,,,,,,
UMa,11:58:32.13,+43:56:54.0,-0.0041,0.0018,0.0021,0.0008,2000,152,70,cv:,,,,12.5V-17.c,2004-105*,2004-105,1998-56,A9999-99*,1998-57X:,,SN 1989Z?,,,,,,,,,,,
Crv,11:58:34.51,-22:33:33.5,,,,,,287,39,cv:,,,,16.2V- ,ICRS,,1997-05,A9999-99,1997-05S:,,EC 11560-2216,,,,,,,,,,,
Vir,11:59:22.03,-04:01:26.4,,,,,,,,non-cv,,,,- ,,,1994-49*,,,,PG 1156-037,,,,,,,,,,,
Vir1,11:59:51.80,+00:07:53.2,,,,,,,,non-cv,,,,- ,,,1994-49*,,,,PG 1157+004,,,,,,,,,,,
V395 Hya,12:01:24.38,-31:59:26.8,0.0032,0.0035,-0.0044,0.0016,2000,291,30,ux,,,,13.0B-13.4B,2004-105,2004-105,1997-05,A9999-99,1997-05S:,,EC 11588-3142,,,,,,,,,,,
UMa,12:02:31.01,+45:03:49.1,,,,,,148,70,cv,,,,20.0g-,2006-05,,2006-05,A9999-99,2006-05S,,SDSS J120231+450349,,,,,,,,,,,
DI Cru,12:05:18.73,-62:03:10.2,-0.00657,0.00142,0.00023,0.00149,1991.25,297,0,nlv,,,,10.6h-10.9h,1997-45,1997-45,1998-02,A9999-99,1998-02S,,HD 104994,,,,,,,,,,,
Vir,12:10:05.34,-02:55:43.9,-0.02877,0.0039,-0.01743,0.00389,2000115,283,58,ug,,,,20.7b-,2006-22,2006-22,2002-01,A9999-99,2001-49S,,2QZ J121005.3-025543,,,,,,,,,,,
CP Cru,12:10:31.33,-61:45:09.7,,,,,,298,1,na:,944,1996.65,,9.3V-19.5V,ICRS,,1996-33,2000-15,1997-01X:,2003-07,,,Y,,,,,,,,,
